"SUBJID","SAMPID","SMTS","SMNABTCH","SMNABTCHD","SMGEBTCHT","SMAFRZE","SMCENTER","SMRIN","SMATSSCR"
"GTEX-11TT1","GTEX-11TT1-0326-SM-5LUAY","Pancreas","BP-45139",2013-10-28,"TruSeq.v1","RNASEQ","B1",7.7,1
"GTEX-11TT1","GTEX-11TT1-0426-SM-5EGI9","Esophagus","BP-45028",2013-10-24,"TruSeq.v1","RNASEQ","B1",9.1,0
"GTEX-11TT1","GTEX-11TT1-0526-SM-5P9JO","Esophagus","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",9.4,1
"GTEX-11TT1","GTEX-11TT1-0626-SM-5GU4X","Esophagus","BP-43753",2013-09-19,"TruSeq.v1","RNASEQ","B1",8.8,0
"GTEX-11TT1","GTEX-11TT1-0726-SM-5GU5A","Stomach","BP-43753",2013-09-19,"TruSeq.v1","RNASEQ","B1",7.2,1
"GTEX-11TT1","GTEX-11TT1-0926-SM-5GU5M","Colon","BP-43753",2013-09-19,"TruSeq.v1","RNASEQ","B1",8.7,1
"GTEX-11TT1","GTEX-11TT1-1026-SM-5PNW7","Colon","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",8.2,1
"GTEX-11TT1","GTEX-11TT1-1126-SM-5P9GV","Thyroid","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",7.1,0
"GTEX-11TT1","GTEX-11TT1-1226-SM-5Q5AV","Blood Vessel","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",7.1,1
"GTEX-11TT1","GTEX-11TT1-1326-SM-5PNYM","Heart","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",8,0
"GTEX-11TT1","GTEX-11TT1-1426-SM-5EGIA","Heart","BP-45028",2013-10-24,"TruSeq.v1","RNASEQ","B1",9,0
"GTEX-11TT1","GTEX-11TT1-1526-SM-5EQKU","Blood Vessel","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",8.2,1
"GTEX-11TT1","GTEX-11TT1-1626-SM-5EQL7","Lung","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",8.9,1
"GTEX-11TT1","GTEX-11TT1-1726-SM-5EQLJ","Liver","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",9.1,1
"GTEX-11TT1","GTEX-11TT1-1826-SM-5EQLV","Skin","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",6.4,0
"GTEX-11TT1","GTEX-11TT1-1926-SM-5PNYN","Adipose Tissue","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",7.7,0
"GTEX-11TT1","GTEX-11TT1-2026-SM-5EQM8","Prostate","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",8.2,1
"GTEX-11TT1","GTEX-11TT1-2126-SM-5GU5Y","Breast","BP-43753",2013-09-19,"TruSeq.v1","RNASEQ","B1",7.5,0
"GTEX-11TT1","GTEX-11TT1-2226-SM-5GU6B","Testis","BP-43753",2013-09-19,"TruSeq.v1","RNASEQ","B1",7.8,1
"GTEX-11TT1","GTEX-11TT1-2326-SM-5GU6N","Muscle","BP-43753",2013-09-19,"TruSeq.v1","RNASEQ","B1",8.7,0
"GTEX-11TT1","GTEX-11TT1-2426-SM-5EQMK","Adipose Tissue","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",8.3,0
"GTEX-11TT1","GTEX-11TT1-2526-SM-5EGIB","Skin","BP-45028",2013-10-24,"TruSeq.v1","RNASEQ","B1",7.7,0
"GTEX-11TT1","GTEX-11TT1-2626-SM-5EGL2","Nerve","BP-45028",2013-10-24,"TruSeq.v1","RNASEQ","B1",7.5,0
"GTEX-11TT1","GTEX-11TT1-2726-SM-5LU8L","Blood Vessel","BP-45139",2013-10-28,"TruSeq.v1","RNASEQ","B1",8.8,1
"GTEX-11TTK","GTEX-11TTK-0126-SM-5987B","Skin","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","C1",6.8,1
"GTEX-11TTK","GTEX-11TTK-0226-SM-5N9EC","Adipose Tissue","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","C1",5.7,1
"GTEX-11TTK","GTEX-11TTK-0326-SM-5BC5N","Muscle","BP-44512",2013-10-10,"TruSeq.v1","RNASEQ","C1",7.1,1
"GTEX-11TTK","GTEX-11TTK-0426-SM-5EQLT","Nerve","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","C1",6.9,1
"GTEX-11TTK","GTEX-11TTK-0826-SM-5N9EG","Thyroid","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","C1",5.7,2
"GTEX-11TTK","GTEX-11TTK-1926-SM-5PNW8","Kidney","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","C1",6.2,2
"GTEX-11TTK","GTEX-11TTK-2426-SM-5PNYO","Colon","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","C1",5.8,3
"GTEX-11TTK","GTEX-11TTK-2726-SM-5GU58","Vagina","BP-43730",2013-09-18,"TruSeq.v1","RNASEQ","C1",5.9,1
"GTEX-11TTK","GTEX-11TTK-2826-SM-5GU5K","Brain","BP-43730",2013-09-18,"TruSeq.v1","RNASEQ","C1",6.2,1
"GTEX-11TTK","GTEX-11TTK-2926-SM-5PNYP","Brain","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","C1",6.1,1
"GTEX-11TUW","GTEX-11TUW-0226-SM-5LU8X","Thyroid","BP-45139",2013-10-28,"TruSeq.v1","RNASEQ","B1",6.5,1
"GTEX-11TUW","GTEX-11TUW-0526-SM-5LU9A","Lung","BP-45139",2013-10-28,"TruSeq.v1","RNASEQ","B1",7.7,1
"GTEX-11TUW","GTEX-11TUW-0626-SM-5LU9M","Skin","BP-45139",2013-10-28,"TruSeq.v1","RNASEQ","B1",7.3,1
"GTEX-11TUW","GTEX-11TUW-0926-SM-5EQMW","Blood Vessel","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",6.7,1
"GTEX-11TUW","GTEX-11TUW-1026-SM-5GU7D","Heart","BP-43753",2013-09-19,"TruSeq.v1","RNASEQ","B1",6.4,1
"GTEX-11TUW","GTEX-11TUW-1126-SM-5EQKJ","Heart","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",6.8,1
"GTEX-11TUW","GTEX-11TUW-1226-SM-5GU7C","Esophagus","BP-43753",2013-09-19,"TruSeq.v1","RNASEQ","B1",6.2,1
"GTEX-11TUW","GTEX-11TUW-1326-SM-5EQKV","Esophagus","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",7.3,1
"GTEX-11TUW","GTEX-11TUW-1726-SM-5BC5C","Liver","BP-44512",2013-10-10,"TruSeq.v1","RNASEQ","B1",6.1,2
"GTEX-11TUW","GTEX-11TUW-1826-SM-5BC5D","Breast","BP-44512",2013-10-10,"TruSeq.v1","RNASEQ","B1",7.6,1
"GTEX-11TUW","GTEX-11TUW-1926-SM-5BC58","Small Intestine","BP-44512",2013-10-10,"TruSeq.v1","EXCLUDE","B1",6,3
"GTEX-11TUW","GTEX-11TUW-2026-SM-5EQL8","Colon","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",6.7,3
"GTEX-11TUW","GTEX-11TUW-2126-SM-5GU7B","Prostate","BP-43753",2013-09-19,"TruSeq.v1","RNASEQ","B1",5.8,2
"GTEX-11TUW","GTEX-11TUW-2226-SM-5EQL9","Testis","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",6.4,2
"GTEX-11TUW","GTEX-11TUW-2326-SM-5EQMO","Colon","BP-44114",2013-09-30,"TruSeq.v1","RNASEQ","B1",5.9,2
"GTEX-11TUW","GTEX-11TUW-2426-SM-5EQKB","Salivary Gland","BP-44114",2013-09-30,"TruSeq.v1","RNASEQ","B1",8.1,1
"GTEX-11TUW","GTEX-11TUW-2526-SM-5EQKN","Muscle","BP-44114",2013-09-30,"TruSeq.v1","RNASEQ","B1",8.5,1
"GTEX-11TUW","GTEX-11TUW-2626-SM-5EQKZ","Adipose Tissue","BP-44114",2013-09-30,"TruSeq.v1","RNASEQ","B1",6.8,0
"GTEX-11TUW","GTEX-11TUW-2726-SM-5EQLC","Skin","BP-44114",2013-09-30,"TruSeq.v1","RNASEQ","B1",6.5,1
"GTEX-11TUW","GTEX-11TUW-2926-SM-5BC59","Blood Vessel","BP-44399",2013-10-07,"TruSeq.v1","RNASEQ","B1",6.6,1
"GTEX-1269C","GTEX-1269C-3126-SM-5EGI6","Brain","BP-45028",2013-10-24,"TruSeq.v1","RNASEQ","B1",6.1,1
"GTEX-1269C","GTEX-1269C-3226-SM-5EGKT","Pituitary","BP-45028",2013-10-24,"TruSeq.v1","RNASEQ","B1",6.7,1
"GTEX-12BJ1","GTEX-12BJ1-0126-SM-5LU9P","Blood Vessel","BP-45139",2013-10-28,"TruSeq.v1","EXCLUDE","B1",7.3,1
"GTEX-12BJ1","GTEX-12BJ1-0226-SM-5LUA2","Heart","BP-45139",2013-10-28,"TruSeq.v1","RNASEQ","B1",6.5,1
"GTEX-12BJ1","GTEX-12BJ1-0326-SM-5FQUB","Heart","BP-44157",2013-10-01,"TruSeq.v1","RNASEQ","B1",7.6,2
"GTEX-12BJ1","GTEX-12BJ1-0426-SM-5FQSO","Thyroid","BP-44157",2013-10-01,"TruSeq.v1","RNASEQ","B1",6.9,1
"GTEX-12BJ1","GTEX-12BJ1-0526-SM-5FQUD","Adrenal Gland","BP-44157",2013-10-01,"TruSeq.v1","RNASEQ","B1",7.9,1
"GTEX-12BJ1","GTEX-12BJ1-0726-SM-5EGGF","Spleen","BP-44399",2013-10-07,"TruSeq.v1","RNASEQ","B1",6.3,1
"GTEX-12BJ1","GTEX-12BJ1-0826-SM-5EQ5P","Adipose Tissue","BP-44399",2013-10-07,"TruSeq.v1","RNASEQ","B1",7.5,1
"GTEX-12BJ1","GTEX-12BJ1-0926-SM-5EQ62","Skin","BP-44399",2013-10-07,"TruSeq.v1","RNASEQ","B1",6.2,1
"GTEX-12BJ1","GTEX-12BJ1-1026-SM-5EGJA","Lung","BP-44399",2013-10-07,"TruSeq.v1","RNASEQ","B1",8.8,1
"GTEX-12BJ1","GTEX-12BJ1-1126-SM-5EGGG","Pancreas","BP-44399",2013-10-07,"TruSeq.v1","RNASEQ","B1",6.3,1
"GTEX-12BJ1","GTEX-12BJ1-1226-SM-5LUAE","Prostate","BP-45139",2013-10-28,"TruSeq.v1","RNASEQ","B1",8.3,1
"GTEX-12BJ1","GTEX-12BJ1-1326-SM-5BC5P","Testis","BP-43916",2013-09-24,"TruSeq.v1","RNASEQ","B1",6.3,1
"GTEX-12BJ1","GTEX-12BJ1-1426-SM-5BC5Q","Esophagus","BP-43916",2013-09-24,"TruSeq.v1","RNASEQ","B1",7.2,1
"GTEX-12BJ1","GTEX-12BJ1-1526-SM-5LUAQ","Esophagus","BP-45139",2013-10-28,"TruSeq.v1","RNASEQ","B1",8,1
"GTEX-12BJ1","GTEX-12BJ1-1626-SM-5HL8Y","Esophagus","BP-45268",2013-10-29,"TruSeq.v1","RNASEQ","B1",9.1,1
"GTEX-12BJ1","GTEX-12BJ1-1726-SM-5HL9B","Stomach","BP-45268",2013-10-29,"TruSeq.v1","RNASEQ","B1",7.3,1
"GTEX-12BJ1","GTEX-12BJ1-1826-SM-5HL9N","Breast","BP-45268",2013-10-29,"TruSeq.v1","RNASEQ","B1",7.6,0
"GTEX-12BJ1","GTEX-12BJ1-1926-SM-5HL9Z","Small Intestine","BP-45268",2013-10-29,"TruSeq.v1","RNASEQ","B1",7.1,1
"GTEX-12BJ1","GTEX-12BJ1-2026-SM-5FQUH","Colon","BP-44157",2013-10-01,"TruSeq.v1","RNASEQ","B1",7.5,1
"GTEX-12BJ1","GTEX-12BJ1-2126-SM-5BC5O","Colon","BP-43916",2013-09-24,"TruSeq.v1","RNASEQ","B1",5.9,1
"GTEX-12BJ1","GTEX-12BJ1-2226-SM-5BC6G","Salivary Gland","BP-43916",2013-09-24,"TruSeq.v1","RNASEQ","B1",9.4,1
"GTEX-12BJ1","GTEX-12BJ1-2526-SM-5FQUE","Muscle","BP-44157",2013-10-01,"TruSeq.v1","RNASEQ","B1",7.9,0
"GTEX-12BJ1","GTEX-12BJ1-2626-SM-5FQUF","Nerve","BP-44157",2013-10-01,"TruSeq.v1","RNASEQ","B1",6.5,0
"GTEX-12BJ1","GTEX-12BJ1-2726-SM-5HL9M","Blood Vessel","BP-45268",2013-10-29,"TruSeq.v1","RNASEQ","B1",6.7,0
"GTEX-12C56","GTEX-12C56-0226-SM-5N9FB","Blood Vessel","BP-43881",2013-09-23,"TruSeq.v1","RNASEQ","B1",5.7,0
"GTEX-12C56","GTEX-12C56-0426-SM-5FQU1","Esophagus","BP-44157",2013-10-01,"TruSeq.v1","RNASEQ","B1",7.3,0
"GTEX-12C56","GTEX-12C56-0526-SM-5FQST","Stomach","BP-44157",2013-10-01,"TruSeq.v1","RNASEQ","B1",7.3,2
"GTEX-12C56","GTEX-12C56-0626-SM-5EGGC","Colon","BP-44399",2013-10-07,"TruSeq.v1","RNASEQ","B1",7.2,2
"GTEX-12C56","GTEX-12C56-0826-SM-5EGJ5","Adipose Tissue","BP-44399",2013-10-07,"TruSeq.v1","RNASEQ","B1",8.3,1
"GTEX-12C56","GTEX-12C56-1126-SM-5FQTO","Esophagus","BP-44157",2013-10-01,"TruSeq.v1","RNASEQ","B1",7.4,1
"GTEX-12C56","GTEX-12C56-1226-SM-5FQSU","Esophagus","BP-43881",2013-09-23,"TruSeq.v1","RNASEQ","B1",9.8,1
"GTEX-12C56","GTEX-12C56-1326-SM-5FQSV","Prostate","BP-43881",2013-09-23,"TruSeq.v1","RNASEQ","B1",6.9,0
"GTEX-12C56","GTEX-12C56-1426-SM-5FQSW","Testis","BP-43881",2013-09-23,"TruSeq.v1","RNASEQ","B1",7,2
"GTEX-12C56","GTEX-12C56-1526-SM-5FQUQ","Skin","BP-43881",2013-09-23,"TruSeq.v1","RNASEQ","B1",8,1
"GTEX-12C56","GTEX-12C56-1626-SM-5FQUO","Adipose Tissue","BP-44157",2013-10-01,"TruSeq.v1","RNASEQ","B1",7.9,1
"GTEX-12C56","GTEX-12C56-1726-SM-5EQ61","Skin","BP-44399",2013-10-07,"TruSeq.v1","RNASEQ","B1",6.6,1
"GTEX-12C56","GTEX-12C56-1826-SM-5EQ6D","Nerve","BP-44399",2013-10-07,"TruSeq.v1","RNASEQ","B1",6.8,0
"GTEX-12C56","GTEX-12C56-1926-SM-5FQUG","Muscle","BP-44157",2013-10-01,"TruSeq.v1","RNASEQ","B1",8.1,1
"GTEX-12C56","GTEX-12C56-2026-SM-5FQSI","Blood Vessel","BP-44157",2013-10-01,"TruSeq.v1","RNASEQ","B1",8.3,1
"GTEX-12KS4","GTEX-12KS4-0126-SM-5Q5A5","Breast","BP-45374",2013-10-31,"TruSeq.v1","RNASEQ","C1",6.2,1
"GTEX-12KS4","GTEX-12KS4-0326-SM-5EQ41","Skin","BP-44399",2013-10-07,"TruSeq.v1","RNASEQ","C1",8.4,0
"GTEX-12KS4","GTEX-12KS4-0426-SM-5EQMC","Adipose Tissue","BP-44399",2013-10-07,"TruSeq.v1","RNASEQ","C1",7.4,0
"GTEX-12KS4","GTEX-12KS4-0626-SM-5PNY4","Blood Vessel","BP-45374",2013-10-31,"TruSeq.v1","RNASEQ","C1",5.7,1
"GTEX-12KS4","GTEX-12KS4-0726-SM-5FQSX","Lung","BP-44157",2013-10-01,"TruSeq.v1","RNASEQ","C1",6.2,2
"GTEX-12KS4","GTEX-12KS4-0826-SM-5BC5R","Muscle","BP-43916",2013-09-24,"TruSeq.v1","RNASEQ","C1",6.5,0
"GTEX-12KS4","GTEX-12KS4-0926-SM-5BC5S","Blood Vessel","BP-44157",2013-10-01,"TruSeq.v1","RNASEQ","C1",6.4,1
"GTEX-12WSM","GTEX-12WSM-0626-SM-5GCOK","Adipose Tissue","BP-44157",2013-10-01,"TruSeq.v1","RNASEQ","B1",7.1,0
"GTEX-12WSM","GTEX-12WSM-0726-SM-5GCOW","Liver","BP-44157",2013-10-01,"TruSeq.v1","RNASEQ","B1",5.9,1
"GTEX-12WSM","GTEX-12WSM-1326-SM-5GCP9","Testis","BP-44157",2013-10-01,"TruSeq.v1","RNASEQ","B1",6.1,2
"GTEX-12WSM","GTEX-12WSM-1426-SM-5GCPA","Colon","BP-44157",2013-10-01,"TruSeq.v1","RNASEQ","B1",6.4,3
"GTEX-12WSM","GTEX-12WSM-1726-SM-5BC6J","Breast","BP-43916",2013-09-24,"TruSeq.v1","RNASEQ","B1",6.1,1
"GTEX-12WSM","GTEX-12WSM-1826-SM-5BC64","Salivary Gland","BP-43916",2013-09-24,"TruSeq.v1","RNASEQ","B1",7.2,1
"GTEX-12WSM","GTEX-12WSM-1926-SM-5BC65","Skin","BP-43916",2013-09-24,"TruSeq.v1","RNASEQ","B1",6.3,0
"GTEX-12WSM","GTEX-12WSM-2126-SM-5GCOC","Brain","BP-44157",2013-10-01,"TruSeq.v1","RNASEQ","B1",6.4,1
"GTEX-12WSM","GTEX-12WSM-2226-SM-5DUVS","Pituitary","BP-44437",2013-10-08,"TruSeq.v1","RNASEQ","B1",6.8,1
"GTEX-12WSN","GTEX-12WSN-0126-SM-5DUX5","Spleen","BP-44437",2013-10-08,"TruSeq.v1","RNASEQ","B1",6.8,0
"GTEX-12WSN","GTEX-12WSN-0226-SM-5DUXH","Heart","BP-44437",2013-10-08,"TruSeq.v1","RNASEQ","B1",8.5,0
"GTEX-12WSN","GTEX-12WSN-0326-SM-5GCP6","Blood Vessel","BP-44157",2013-10-01,"TruSeq.v1","RNASEQ","B1",5.9,0
"GTEX-12WSN","GTEX-12WSN-0626-SM-5BC61","Lung","BP-43916",2013-09-24,"TruSeq.v1","EXCLUDE","B1",5.9,1
"GTEX-12WSN","GTEX-12WSN-0726-SM-5GCMS","Thyroid","BP-44157",2013-10-01,"TruSeq.v1","RNASEQ","B1",7.4,1
"GTEX-12WSN","GTEX-12WSN-0826-SM-5GCOF","Pancreas","BP-44157",2013-10-01,"TruSeq.v1","RNASEQ","B1",6.8,0
"GTEX-12WSN","GTEX-12WSN-0926-SM-5GCN1","Adrenal Gland","BP-44157",2013-10-01,"TruSeq.v1","RNASEQ","B1",6.6,2
"GTEX-12WSN","GTEX-12WSN-1326-SM-5GCNT","Breast","BP-44157",2013-10-01,"TruSeq.v1","RNASEQ","B1",6.9,1
"GTEX-12WSN","GTEX-12WSN-1426-SM-5GCO6","Skin","BP-44157",2013-10-01,"TruSeq.v1","RNASEQ","B1",8,1
"GTEX-12WSN","GTEX-12WSN-1826-SM-5LZUT","Esophagus","BP-45139",2013-10-28,"TruSeq.v1","RNASEQ","B1",8.3,1
"GTEX-12WSN","GTEX-12WSN-2226-SM-5DUXT","Salivary Gland","BP-44437",2013-10-08,"TruSeq.v1","RNASEQ","B1",6.7,1
"GTEX-12WSN","GTEX-12WSN-2326-SM-5DUVG","Skin","BP-44437",2013-10-08,"TruSeq.v1","EXCLUDE","B1",8,1
"GTEX-12WSN","GTEX-12WSN-2526-SM-5LZU8","Muscle","BP-45139",2013-10-28,"TruSeq.v1","RNASEQ","B1",8,1
"GTEX-12WSN","GTEX-12WSN-2726-SM-5LZUK","Blood Vessel","BP-45139",2013-10-28,"TruSeq.v1","RNASEQ","B1",7.3,1
"GTEX-12ZZW","GTEX-12ZZW-0126-SM-5DUVB","Skin","BP-44525",2013-10-10,"TruSeq.v1","EXCLUDE","C1",6,0
"GTEX-12ZZW","GTEX-12ZZW-0426-SM-5GCO9","Blood Vessel","BP-44172",2013-10-01,"TruSeq.v1","RNASEQ","C1",6.7,0
"GTEX-12ZZW","GTEX-12ZZW-0926-SM-5LZUD","Lung","BP-43956",2013-09-25,"TruSeq.v1","RNASEQ","C1",6.3,1
"GTEX-12ZZW","GTEX-12ZZW-1026-SM-5GCMM","Heart","BP-44172",2013-10-01,"TruSeq.v1","RNASEQ","C1",5.9,1
"GTEX-12ZZW","GTEX-12ZZW-1726-SM-5DUVD","Esophagus","BP-44437",2013-10-08,"TruSeq.v1","RNASEQ","C1",5.9,2
"GTEX-12ZZW","GTEX-12ZZW-2326-SM-5DUW2","Adipose Tissue","BP-44437",2013-10-08,"TruSeq.v1","RNASEQ","C1",6.4,1
"GTEX-12ZZW","GTEX-12ZZW-2426-SM-5DUWE","Colon","BP-44437",2013-10-08,"TruSeq.v1","RNASEQ","C1",6.2,1
"GTEX-12ZZW","GTEX-12ZZW-2926-SM-5LZUP","Brain","BP-43956",2013-09-25,"TruSeq.v1","RNASEQ","C1",6.2,1
"GTEX-12ZZW","GTEX-12ZZW-3026-SM-5LZW7","Pituitary","BP-45139",2013-10-28,"TruSeq.v1","RNASEQ","C1",6.3,1
"GTEX-12ZZX","GTEX-12ZZX-0126-SM-5EGK9","Skin","BP-44901",2013-10-22,"TruSeq.v1","RNASEQ","C1",7.9,0
"GTEX-12ZZX","GTEX-12ZZX-0226-SM-5DUXU","Adipose Tissue","BP-44437",2013-10-08,"TruSeq.v1","RNASEQ","C1",6.8,0
"GTEX-12ZZX","GTEX-12ZZX-0326-SM-5DUVH","Muscle","BP-44437",2013-10-08,"TruSeq.v1","RNASEQ","C1",7.7,0
"GTEX-12ZZX","GTEX-12ZZX-0426-SM-5DUVT","Nerve","BP-44437",2013-10-08,"TruSeq.v1","RNASEQ","C1",7.1,0
"GTEX-12ZZX","GTEX-12ZZX-0526-SM-5DUW6","Blood Vessel","BP-44437",2013-10-08,"TruSeq.v1","RNASEQ","C1",8.7,0
"GTEX-12ZZX","GTEX-12ZZX-0626-SM-5EQ46","Blood Vessel","BP-44901",2013-10-22,"TruSeq.v1","RNASEQ","C1",6.2,1
"GTEX-12ZZX","GTEX-12ZZX-0726-SM-5EGKA","Heart","BP-44901",2013-10-22,"TruSeq.v1","RNASEQ","C1",7.1,1
"GTEX-12ZZX","GTEX-12ZZX-1026-SM-5LZUW","Blood Vessel","BP-45139",2013-10-28,"TruSeq.v1","RNASEQ","C1",6.8,1
"GTEX-12ZZX","GTEX-12ZZX-1126-SM-5EGKB","Breast","BP-44901",2013-10-22,"TruSeq.v1","RNASEQ","C1",7.5,1
"GTEX-12ZZX","GTEX-12ZZX-1226-SM-5EGHS","Thyroid","BP-44901",2013-10-22,"TruSeq.v1","RNASEQ","C1",6.5,1
"GTEX-12ZZX","GTEX-12ZZX-1326-SM-5DUWI","Esophagus","BP-44437",2013-10-08,"TruSeq.v1","RNASEQ","C1",9.4,1
"GTEX-12ZZX","GTEX-12ZZX-1726-SM-5BC63","Adipose Tissue","BP-43916",2013-09-24,"TruSeq.v1","RNASEQ","C1",6.7,1
"GTEX-12ZZX","GTEX-12ZZX-1926-SM-5EGKC","Vagina","BP-44901",2013-10-22,"TruSeq.v1","RNASEQ","C1",5.8,1
"GTEX-12ZZX","GTEX-12ZZX-2026-SM-5LZV9","Ovary","BP-45139",2013-10-28,"TruSeq.v1","RNASEQ","C1",6,1
"GTEX-12ZZX","GTEX-12ZZX-2126-SM-5LZVL","Uterus","BP-45139",2013-10-28,"TruSeq.v1","RNASEQ","C1",6.4,1
"GTEX-12ZZX","GTEX-12ZZX-2426-SM-5GCOE","Skin","BP-44172",2013-10-01,"TruSeq.v1","RNASEQ","C1",8.2,0
"GTEX-12ZZX","GTEX-12ZZX-2726-SM-5N9FT","Colon","BP-44172",2013-10-01,"TruSeq.v1","RNASEQ","C1",5.7,1
"GTEX-12ZZX","GTEX-12ZZX-2826-SM-5BC6K","Brain","BP-43916",2013-09-24,"TruSeq.v1","RNASEQ","C1",7.3,1
"GTEX-12ZZX","GTEX-12ZZX-2926-SM-5GCOQ","Brain","BP-44172",2013-10-01,"TruSeq.v1","RNASEQ","C1",6.8,1
"GTEX-12ZZX","GTEX-12ZZX-3026-SM-5GCP3","Pituitary","BP-44172",2013-10-01,"TruSeq.v1","RNASEQ","C1",7.5,1
"GTEX-12ZZY","GTEX-12ZZY-0126-SM-5LZV2","Testis","BP-43956",2013-09-25,"TruSeq.v1","RNASEQ","C1",7.1,2
"GTEX-12ZZY","GTEX-12ZZY-0226-SM-5LZVE","Skin","BP-43956",2013-09-25,"TruSeq.v1","RNASEQ","C1",8.7,0
"GTEX-12ZZY","GTEX-12ZZY-0326-SM-5LZVQ","Adipose Tissue","BP-43956",2013-09-25,"TruSeq.v1","RNASEQ","C1",6.6,0
"GTEX-12ZZY","GTEX-12ZZY-0426-SM-5LZW3","Nerve","BP-43956",2013-09-25,"TruSeq.v1","RNASEQ","C1",6.7,0
"GTEX-12ZZY","GTEX-12ZZY-0526-SM-5EQ5H","Colon","BP-44901",2013-10-22,"TruSeq.v1","RNASEQ","C1",8.2,0
"GTEX-13113","GTEX-13113-1526-SM-5EGHV","Salivary Gland","BP-44901",2013-10-22,"TruSeq.v1","RNASEQ","B1",8.6,1
"GTEX-13113","GTEX-13113-1626-SM-5EQ4I","Skin","BP-44901",2013-10-22,"TruSeq.v1","RNASEQ","B1",7.8,0
"GTEX-13113","GTEX-13113-1726-SM-5GCOO","Breast","BP-44172",2013-10-01,"TruSeq.v1","RNASEQ","B1",6.8,1
"GTEX-13113","GTEX-13113-1826-SM-5LZW4","Adipose Tissue","BP-43956",2013-09-25,"TruSeq.v1","RNASEQ","B1",7.5,0
"GTEX-13113","GTEX-13113-1926-SM-5LZWG","Skin","BP-43956",2013-09-25,"TruSeq.v1","EXCLUDE","B1",7.5,0
"GTEX-13113","GTEX-13113-2026-SM-5LZU3","Nerve","BP-43956",2013-09-25,"TruSeq.v1","RNASEQ","B1",7.8,0
"GTEX-13113","GTEX-13113-2126-SM-5EQ4U","Blood Vessel","BP-44901",2013-10-22,"TruSeq.v1","RNASEQ","B1",7.5,0
"GTEX-1313W","GTEX-1313W-0126-SM-5LZUN","Skin","BP-45782",2013-11-14,"TruSeq.v1","RNASEQ","C1",7.2,1
"GTEX-1313W","GTEX-1313W-0226-SM-5LZV7","Adipose Tissue","BP-45139",2013-10-28,"TruSeq.v1","RNASEQ","C1",7.2,0
"GTEX-1313W","GTEX-1313W-0326-SM-5LZU5","Nerve","BP-45139",2013-10-28,"TruSeq.v1","RNASEQ","C1",7.6,1
"GTEX-1313W","GTEX-1313W-0526-SM-5P9FZ","Muscle","BP-47901",2014-01-06,"TruSeq.v1","RNASEQ","C1",8.6,1
"GTEX-1313W","GTEX-1313W-0626-SM-5EQ4H","Skin","BP-44901",2013-10-22,"TruSeq.v1","RNASEQ","C1",6.5,1
"GTEX-1313W","GTEX-1313W-0726-SM-5EGK1","Thyroid","BP-44901",2013-10-22,"TruSeq.v1","RNASEQ","C1",6,2
"GTEX-1313W","GTEX-1313W-0826-SM-5EQ4T","Breast","BP-44901",2013-10-22,"TruSeq.v1","RNASEQ","C1",6,1
"GTEX-1313W","GTEX-1313W-0926-SM-5EQ56","Lung","BP-44901",2013-10-22,"TruSeq.v1","RNASEQ","C1",6,1
"GTEX-1313W","GTEX-1313W-1026-SM-5EQ5I","Blood Vessel","BP-44901",2013-10-22,"TruSeq.v1","RNASEQ","C1",7.4,1
"GTEX-1313W","GTEX-1313W-1126-SM-5EQ5U","Heart","BP-44901",2013-10-22,"TruSeq.v1","RNASEQ","C1",7.4,1
"GTEX-1313W","GTEX-1313W-1426-SM-5KLZU","Heart","BP-45499",2013-11-05,"TruSeq.v1","RNASEQ","C1",6.3,0
"GTEX-1313W","GTEX-1313W-1626-SM-5J1OE","Adipose Tissue","BP-45499",2013-11-05,"TruSeq.v1","RNASEQ","C1",5.9,0
"GTEX-1313W","GTEX-1313W-2726-SM-5P9IX","Ovary","BP-47901",2014-01-06,"TruSeq.v1","RNASEQ","C1",7.1,1
